ETF_Symbol,Fund_Name,Category,Latest_Price,Price_Change,Total_Return_%,Annual_Volatility_%,Sharpe_Ratio,Latest_NAV,Avg_Premium_Discount_%,Avg_Daily_Volume,Latest_Volume,Start_Date,End_Date,Trading_Days,Expense_Ratio,Total_Assets
SPY,SPDR S&P 500 ETF,Large Blend,588.22,110.51,23.13,17.56,0.49,671.2819,-12.374,"78,029,311","56,578,800",2022-01-03,2024-12-30,752,N/A,672726646784
IVV,iShares Core S&P 500 ETF,Large Blend,590.98,111.14,23.16,17.56,0.49,674.555,-12.39,"5,326,008","3,730,600",2022-01-03,2024-12-30,752,N/A,701369352192
VTI,Vanguard Total Stock Market Index Fund ETF Shares,Large Blend,290.82,47.85,19.69,18.06,0.42,330.91,-12.115,"3,547,898","4,968,500",2022-01-03,2024-12-30,752,N/A,2016758988800
QQQ,Invesco QQQ Trust,Large Growth,515.61,113.93,28.36,23.72,0.47,611.7,-15.709,"52,547,035","34,584,000",2022-01-03,2024-12-30,752,N/A,385755185152
VEA,Vanguard FTSE Developed Markets Index Fund ETF Shares,Foreign Large Blend,47.81,-3.56,-6.93,16.91,-0.06,61.15,-21.815,"13,300,409","17,423,400",2022-01-03,2024-12-30,752,N/A,250765639680
VWO,Vanguard Emerging Markets Stock Index Fund,Diversified Emerging Mkts,44.11,-5.7,-11.44,17.76,-0.14,54.78,-19.478,"11,777,316","9,244,100",2022-01-03,2024-12-30,752,N/A,138253320192
IEFA,iShares Core MSCI EAFE ETF,Foreign Large Blend,70.32,-4.74,-6.31,17.23,-0.04,88.68228,-20.706,"10,222,430","11,825,200",2022-01-03,2024-12-30,752,N/A,155523727360
AGG,iShares Core U.S. Aggregate Bond ETF,Intermediate Core Bond,97.02,-16.28,-14.37,7.09,-0.7,101.06127,-3.999,"8,179,596","10,154,500",2022-01-03,2024-12-30,752,N/A,131827171328
VUG,Vanguard Growth Index Fund ETF Shares,Large Growth,414.19,91.1,28.2,23.48,0.47,484.57,-14.524,"1,116,786","1,108,700",2022-01-03,2024-12-30,752,N/A,342468952064
VTV,Vanguard Value Index Fund ETF Shares,Large Value,168.94,21.22,14.37,14.23,0.39,187.05,-9.682,"2,517,375","2,514,800",2022-01-03,2024-12-30,752,N/A,207800172544
BND,Vanguard Total Bond Market Index Fund,Intermediate Core Bond,72.03,-12.15,-14.43,7.01,-0.71,74.95,-3.896,"6,537,263","8,054,500",2022-01-03,2024-12-30,752,N/A,374285697024
GLD,SPDR Gold Shares,Commodities Focused,240.63,72.3,42.95,14.57,0.9,395.18112,-39.109,"7,517,875","3,522,500",2022-01-03,2024-12-30,752,N/A,124532858880
IWM,iShares Russell 2000 ETF,Small Blend,220.68,-4.64,-2.06,23.32,0.09,248.2024,-11.089,"31,092,768","25,706,100",2022-01-03,2024-12-30,752,N/A,70946291712
EEM,iShares MSCI Emerging Markets ETF,Diversified Emerging Mkts,41.96,-7.24,-14.72,18.8,-0.19,54.83086,-23.474,"35,286,114","25,055,000",2022-01-03,2024-12-30,752,N/A,20233836544
XLF,The Financial Select Sector SPDR Fund,Financial,48.28,8.75,22.14,18.81,0.45,52.78663,-8.537,"47,634,105","34,819,800",2022-01-03,2024-12-30,752,N/A,54020546560
XLK,The Technology Select Sector SPDR Fund,Technology,234.47,58.95,33.59,25.33,0.51,288.2354,-18.653,"7,298,426","3,975,200",2022-01-03,2024-12-30,752,N/A,90249887744
XLV,The Health Care Select Sector SPDR Fund,Health,137.24,-2.2,-1.58,14.27,0.03,144.77107,-5.202,"9,206,322","6,890,300",2022-01-03,2024-12-30,752,N/A,34014875648
XLE,The Energy Select Sector SPDR Fund,Equity Energy,84.55,27.33,47.76,26.24,0.63,86.86665,-2.667,"22,308,039","11,772,700",2022-01-03,2024-12-30,752,N/A,26926057472
XLI,The Industrial Select Sector SPDR Fund,Industrials,131.92,26.98,25.71,17.15,0.53,153.517,-14.068,"10,151,759","8,725,500",2022-01-03,2024-12-30,752,N/A,23864965120
XLY,The Consumer Discretionary Select Sector SPDR Fund,Consumer Cyclical,226.05,15.74,7.48,25.33,0.22,236.31697,-4.345,"5,485,788","2,706,500",2022-01-03,2024-12-30,752,N/A,24614813696
XLP,The Consumer Staples Select Sector SPDR Fund,Consumer Defensive,78.37,1.27,1.65,13.31,0.11,79.65754,-1.616,"12,602,363","7,249,300",2022-01-03,2024-12-30,752,N/A,16102211584
XLU,The Utilities Select Sector SPDR Fund,Utilities,75.76,4.89,6.9,18.34,0.21,91.50993,-17.211,"14,422,682","8,435,000",2022-01-03,2024-12-30,752,N/A,21288992768
XLRE,The Real Estate Select Sector SPDR Fund,Real Estate,40.35,-10.98,-21.39,21.08,-0.28,42.47716,-5.008,"6,266,351","4,493,500",2022-01-03,2024-12-30,752,N/A,7893178368
XLB,The Materials Select Sector SPDR Fund,Natural Resources,83.8,-5.63,-6.3,19.19,-0.02,88.95153,-5.791,"5,945,996","3,764,100",2022-01-03,2024-12-30,752,N/A,5462010368
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,Corporate Bond,107.11,-24.0,-18.31,9.9,-0.64,112.51833,-4.807,"22,501,555","9,141,400",2022-01-03,2024-12-30,752,N/A,31793909760
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,High Yield Bond,78.66,-8.31,-9.56,8.97,-0.33,80.6633,-2.484,"38,825,977","20,659,200",2022-01-03,2024-12-30,752,N/A,18542909440
TLT,iShares 20+ Year Treasury Bond ETF,Long Government,87.8,-56.5,-39.15,17.77,-0.85,91.50712,-4.051,"30,513,001","48,519,600",2022-01-03,2024-12-30,752,N/A,48818462720
IEMG,iShares Core MSCI Emerging Markets ETF,Diversified Emerging Mkts,52.31,-7.9,-13.12,18.29,-0.17,67.56253,-22.575,"12,899,947","11,592,700",2022-01-03,2024-12-30,752,N/A,109970055168
IJR,iShares Core S&P Small-Cap ETF,Small Blend,114.97,-0.8,-0.69,21.94,0.1,119.49049,-3.783,"4,188,501","5,050,500",2022-01-03,2024-12-30,752,N/A,85839454208
VO,Vanguard Mid-Cap Index Fund ETF Shares,Mid-Cap Blend,264.16,10.77,4.25,18.74,0.17,292.23,-9.605,"704,116","712,400",2022-01-03,2024-12-30,752,N/A,201284747264
